timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-08-06 15:16:40.242866	[0.20870005 0.6901867  6.2347224 ]	[0.09985432 0.37934005 1.57073537]	[0.16913384 0.65821669 2.54580607]
2024-08-06 15:16:40.445452	[0.1824548  0.67543687 6.45734082]	[0.07052166 0.34340907 2.49655663]	[0.14560022 0.63544769 2.75540551]
2024-08-06 15:16:40.647874	[0.12622973 0.62243111 5.09095449]	[-0.03636881  0.0583971   2.78684185]	[0.03568605 0.59155354 2.99859327]
2024-08-06 15:16:40.850219	[0.2069707  0.75670852 4.16614433]	[0.06816494 0.27773644 2.97960428]	[0.13457975 0.66000463 1.98649049]
2024-08-06 15:16:41.052685	[0.29932847 0.90450142 3.89073695]	[0.19695112 0.59011511 3.99328297]	[0.25087262 0.76628707 0.66361815]
2024-08-06 15:16:41.305811	[0.27532496 0.89956058 3.71561095]	[0.19565049 0.53578691 2.89405993]	[0.23489898 0.75759064 0.65448651]
2024-08-06 15:16:41.558997	[0.25490835 0.86582579 2.65109347]	[0.21099581 0.48609928 1.75481464]	[0.21725034 0.74573568 0.65038785]
2024-08-06 15:16:41.761766	[0.27857888 0.88640136 2.86971307]	[0.35423185 0.85866401 2.58057232]	[0.3403894  0.76944582 0.62432226]
2024-08-06 15:16:42.066244	[0.28294927 0.89834554 3.60206843]	[0.3666074  0.89208308 2.80377506]	[0.3381319  0.7762522  0.61496806]
2024-08-06 15:16:42.319496	[0.27411482 0.87366864 2.36307822]	[0.37843679 0.90246906 2.60291644]	[0.33499315 0.77327437 0.6142364 ]
2024-08-06 15:16:42.522104	[0.26737067 0.84779672 1.48958887]	[0.38288171 0.91334817 2.82566945]	[0.32737498 0.7694042  0.61574164]
2024-08-06 15:16:42.775244	[0.25419155 0.87402398 2.53376986]	[0.36102201 0.90592355 3.04967276]	[0.31827999 0.73915724 0.63506895]
2024-08-06 15:16:43.028544	[0.23461202 0.88757282 2.82153649]	[0.34341193 0.88603003 1.87382823]	[0.30989815 0.68984209 0.64963629]
2024-08-06 15:16:43.485220	[0.23629704 0.92639759 3.7258155 ]	[0.28827668 0.83206369 0.61302956]	[0.27671475 0.62319928 0.68633171]
2024-08-06 15:16:43.788734	[0.19054065 0.89143    2.35247068]	[0.29327336 0.83791714 0.6176884 ]	[0.2817824  0.6105486  0.69392185]
2024-08-06 15:16:44.041782	[0.20352433 0.83578488 0.61695592]	[0.32292544 0.86193126 2.33400993]	[0.29818163 0.65326202 0.66697543]
2024-08-06 15:16:44.295079	[0.22341753 0.82050397 0.62129889]	[0.33972582 0.86018837 2.68758497]	[0.31449682 0.7162109  0.66913974]
2024-08-06 15:16:44.497685	[0.2213285  0.80772488 0.62573423]	[0.37862098 0.89954806 4.18015789]	[0.25998796 0.75897471 0.70574776]
2024-08-06 15:16:44.750645	[0.21926569 0.80610409 0.62623965]	[0.37862098 0.89954806 4.18015789]	[0.19611869 0.74572053 0.72773356]
2024-08-06 15:16:44.902128	[0.23062875 0.79753507 0.62804156]	[0.37862098 0.89954806 4.18015789]	[0.10570788 0.7294269  0.75827554]
2024-08-06 15:16:45.104039	[0.21593938 0.80046597 0.63027218]	[0.37218773 0.87255577 0.71477778]	[-0.01110189  0.70932016  0.7928068 ]
2024-08-06 15:16:45.255755	[0.21432755 0.79455423 0.63153186]	[0.37218773 0.87255577 0.71477778]	[-0.13963253  0.68481957  0.80658664]
2024-08-06 15:16:45.407327	[0.2126491  0.80388679 0.62842145]	[0.40166514 0.90265604 0.71755556]	[-0.05432604  0.69530873  0.73774704]
2024-08-06 15:16:45.559451	[0.2128846  0.80155561 0.6292774 ]	[0.40039575 0.92812148 3.44571345]	[0.03929566 0.72107079 0.73084005]
2024-08-06 15:16:45.711289	[0.20600726 0.80206576 0.63175197]	[0.40232291 0.9434328  4.20229725]	[0.14145776 0.74871384 0.72395204]
